batch_index,accepted_count,selected_count,batch_size,accepted_fraction,mean_entropy,loss,updated
39,1,1,16,0.0625,0.4675055742263794,,False
40,2,2,16,0.125,0.465628832578659,0.2823830842971802,True
41,2,2,16,0.125,0.4669597148895263,0.2571905851364136,True
42,1,1,16,0.0625,0.4598156809806824,,False
43,2,2,16,0.125,0.4721778631210327,0.2933545708656311,True
44,2,2,16,0.125,0.450062096118927,0.2548905611038208,True
45,0,0,16,0.0,0.4549753665924072,,False
46,1,1,16,0.0625,0.4716083109378814,,False
47,1,1,16,0.0625,0.4619503021240234,,False
48,1,1,16,0.0625,0.4564529061317444,,False
49,2,2,16,0.125,0.4652699828147888,0.3175490796566009,True
50,3,2,16,0.1875,0.4523561596870422,0.2485358119010925,True
51,2,2,16,0.125,0.4684284627437591,0.2917496562004089,True
52,2,2,16,0.125,0.4721000492572784,0.2529608011245727,True
53,0,0,16,0.0,0.4528936743736267,,False
54,2,2,16,0.125,0.4622805714607239,0.2788581848144531,True
55,0,0,16,0.0,0.4563098847866058,,False
56,3,2,16,0.1875,0.4646258950233459,0.2387280166149139,True
57,1,1,16,0.0625,0.474317729473114,,False
58,2,2,16,0.125,0.45448899269104,0.290623128414154,True
59,3,2,16,0.1875,0.4625218510627746,0.2245363593101501,True
60,2,2,16,0.125,0.4852569103240967,0.3015868663787842,True
61,1,1,16,0.0625,0.4796238839626312,,False
62,2,2,16,0.125,0.4685546159744262,0.2328048348426818,True
63,4,2,16,0.25,0.4665490388870239,0.2290063500404358,True
64,2,2,16,0.125,0.466840922832489,0.261064350605011,True
65,1,1,16,0.0625,0.4744890332221985,,False
66,3,2,16,0.1875,0.4623849987983703,0.2928842604160309,True
67,1,1,16,0.0625,0.4616003632545471,,False
68,2,2,16,0.125,0.466376781463623,0.2331759631633758,True
69,0,0,16,0.0,0.4722969532012939,,False
70,2,2,16,0.125,0.4586435556411743,0.3202396035194397,True
71,2,2,16,0.125,0.4606443047523498,0.2847511172294616,True
72,1,1,16,0.0625,0.4493390321731567,,False
73,3,2,16,0.1875,0.4659280180931091,0.2485179305076599,True
74,1,1,16,0.0625,0.4759410917758941,,False
75,4,2,16,0.25,0.4527910649776459,0.2668066024780273,True
76,3,2,16,0.1875,0.4723203182220459,0.2351973950862884,True
77,2,2,16,0.125,0.4583408832550049,0.2920811176300049,True
78,1,1,16,0.0625,0.4770413041114807,,False
79,2,2,16,0.125,0.4673551321029663,0.2251196801662445,True
80,1,1,16,0.0625,0.4544617235660553,,False
81,3,2,16,0.1875,0.4717453122138977,0.2360437214374542,True
82,1,1,16,0.0625,0.4648467302322387,,False
83,1,1,16,0.0625,0.4585676193237304,,False
84,2,2,16,0.125,0.4602449536323547,0.3071011900901794,True
85,3,2,16,0.1875,0.4563323557376861,0.3000457286834717,True
86,1,1,16,0.0625,0.4565358757972717,,False
87,1,1,16,0.0625,0.4748048484325409,,False
88,2,2,16,0.125,0.4411974847316742,0.1792418956756591,True
89,1,1,16,0.0625,0.452644020318985,,False
90,2,2,16,0.125,0.4726622700691223,0.2369995713233947,True
91,2,2,16,0.125,0.4593347907066345,0.2475911378860473,True
92,2,2,16,0.125,0.4783170223236084,0.3101438283920288,True
93,2,2,16,0.125,0.4449916779994964,0.2543355822563171,True
94,1,1,16,0.0625,0.466777890920639,,False
95,2,2,16,0.125,0.4708568453788757,0.3102637529373169,True
96,2,2,16,0.125,0.4606572687625885,0.2337800711393356,True
97,1,1,16,0.0625,0.462275892496109,,False
98,2,2,16,0.125,0.4578949809074402,0.292480319738388,True
99,1,1,16,0.0625,0.4586122632026672,,False
100,0,0,16,0.0,0.4672882258892059,,False
101,3,2,16,0.1875,0.4480803906917572,0.2938443422317505,True
102,2,2,16,0.125,0.4653522372245788,0.2573675215244293,True
103,3,2,16,0.1875,0.4694775342941284,0.2809494137763977,True
104,2,2,16,0.125,0.4757658243179321,0.2819758653640747,True
105,1,1,16,0.0625,0.4691282212734222,,False
106,2,2,16,0.125,0.4475932717323303,0.321143090724945,True
107,1,1,16,0.0625,0.4649853408336639,,False
108,1,1,12,0.0833333333333333,0.4709561765193939,,False
